,Compoundid,phytochemical
3670,[],plumbagine E
3671,[],plumbagine F
3672,[],plumbagine G
3673,[],plumbagoside A
3674,[],plumbagoside B
3675,[],plumbagoside C
3676,[],plumbagoside D
3677,[Compound(444539)],trans-cinnamic acid
3678,[Compound(8468)],vanillic acid
3679,[Compound(65380)],Psychotrine
3680,[Compound(72341)],Tubulosine
3681,[Compound(10398656)],(-)-alpha-cadinol
3682,[Compound(5281520)],alpha-humulene
3683,[Compound(23642920)],bidebiline E
3684,[Compound(1742210)],caryophyllene oxide
3685,[Compound(20056510)],codamine
3686,[Compound(442304)],laudanidine
3687,[Compound(15548)],laudanosine
3688,[Compound(11778027)],"octadeca-9,11,13-triynoic acid"
3689,[Compound(439653)],reticuline
3690,[Compound(73337)],(+)-magnoflorine
3691,[],(+)-oblongine
3692,[Compound(167718)],(+)-tembetarine
3693,[],(+)-xylopinidine
3694,[Compound(445858)],3-methoxy-4-hydroxycinnamic acid
3695,[],eythritol
3696,"[Compound(10919701), Compound(5459192), Compound(44258751), Compound(44391816)]",mauritianin
3697,[Compound(10358881)],stepharanine
3698,[],"1,3,7-trihydroxy-2,6-dimethoxyxanthone"
3699,[Compound(5281640)],"1,3-dihydroxy-7-methoxyxanthone"
3700,[Compound(10039726)],"1,7-dihydroxy-2,3-dimethoxyxanthone"
3701,[],"2,3-methylenedioxy-4,7-dihydroxyxanthone"
3702,[],"3,4-dimethoxy-1,7-dihydroxyxanthone"
3703,[],"3',5'-dimethoxybiphenyl-4-olo"
3704,[],"3',6-O-disinapoyl sucrose"
3705,[],arillatoses A
3706,[],arillatoses B
3707,[],arillatoses C
3708,[],arillatoses D
3709,[],arillatoses E
3710,[],arillatoses F
3711,[],glomeratose E
3712,[],"1, 7-dihydroxy-2, 3-methylendioxyxanthone"
3713,[],"3-hydroxy-1,4-dimethoxyxanthone"
3714,[],"7-hydroxy-1-methoxy-2, 3-methylendioxyxanthone"
3715,[],"1,4-dimethoxy-2,3-methylenedioxyxanthone"
3716,[],"1-methoxy-2,3-methylenedioxyxanthone"
3717,[],"2,7-dihydroxy-1-methoxyxanthone"
3718,[],"2-hydroxy-1,6,7-trimethoxyxanthone"
3719,[Compound(86062550)],"7-hydroxy-1,2-dimethoxyxanthone"
3720,[],7-hydroxy-1-methoxyxanthone
3721,[Compound(5281631)],euxanthone
3722,[],gentitein
3723,[Compound(15380735)],"1,3,6,8-tetrahydroxy-2,7-dimethoxyxanthone"
3724,[Compound(5281640)],"1,3-dihydroxy-7-methoxyxanthone"
3725,[Compound(5316803)],"1,7-dihydroxy-2,3-methylenedioxyxanthone"
3726,[],?-spinasterol
3727,[Compound(12133315)],"1,3,7-trihydroxy-2-methoxyxanthone"
3728,[],"1,3-dihydroxy-2-methoxyxanthone"
3729,[],"1,6,7-trihydroxy-2,3-dimethoxyxanthone"
3730,[Compound(5316803)],"1,7-dihydroxy-2,3-methylenedioxyxanthone"
3731,[],"1-methoxy-2,3-methylenedioxyxanthone"
3732,[Compound(12214331)],"3-hydroxy-1,2-dimethoxyxanthone"
3733,[],"7-hydroxy-1-methoxy-2,3-methylenedioxyxanthone"
3734,[Compound(101239052)],polygalolide A
3735,[Compound(101239053)],polygalolide B
3736,[],"1, 3, 6-trihydroxyxanthone"
3737,[],"1, 4, 7-trihydroxy-3-methoxy-xanthone"
3738,"[Compound(72), Compound(54675866)]","3, 4-dihydroxybenzoic acid"
3739,[Compound(5281631)],euxanthone
3740,[],"methy 1 2, 5-dihydroxybenzoate "
3741,[Compound(135)],p-hydroxybenzoic acid
3742,[],"1, 2, 7-trihydroxy-3-methoxyxanthone"
3743,[],"3, 6-dihydroxy-1, 2, 7-trimethoxyxanthone"
3744,[],"3, 7-dihydroxy- 1, 2-dimethoxyxanthone"
3745,[],"1,3-dihydroxy-2,5,6,7-tetramethoxyxanthone"
3746,[],"3,8-dihydroxy-1,2,6-trimethoxyxanthone"
3747,[],"3-hydroxy-1,2,5,6,7-pentamethoxyxanthone"
3748,[],"1, 2, 3, 6, 7-heptamethoxy xanthone"
3749,[],"1, 3, 7-trihydroxy-2-methoxy xanthone"
3750,[],"1, 6, 7-trihydroxy-2, 3-dimethoxy xanthone"
3751,[],"1, 7-didydroxy-2, 3-methylenedioxy xanthone"
3752,[],"1, 7-dihydroxy-2, 3-dimethoxy xanthone"
3753,[],"6-hydroxy-1, 2, 3, 7-tetramethoxy xanthone"
3754,"[Compound(5281331), Compound(5315190), Compound(521229), Compound(129316877), Compound(137706369), Compound(146158993)]",alpha-spinasterol
3755,[],alpha-spinasterolic-3-O-beta-D-glucoside
3756,[],polygital
3757,[Compound(5321295)],sibiricaphenone
3758,[Compound(21581292)],sibiricaxanthone A
3759,[Compound(21581293)],sibiricaxanthone B
3760,[Compound(638072)],squalene
3761,[],"1, 3, 7-trihydroxyxanthone"
3762,[],"1, 3-dihydroxyxanthone"
3763,[],"1, 7-dihydroxy-3-methoxyxanthone"
3764,[],"1, 7-dihydroxyxanthone"
3765,[],"1, 7-dimethoxyxanthone"
3766,[],"1-methoxy-2, 3-methylenedioxyxanthone"
3767,"[Compound(11169063), Compound(74029791), Compound(131674263), Compound(86287430), Compound(138115168)]",polygalaxanthone III
3768,[Compound(86278272)],tenuifoliside E
3769,[Compound(11250430)],tricornose A
3770,[Compound(11343026)],tricornose B
3771,[Compound(11764513)],tricornose C
3772,[Compound(11320525)],tricornose D
3773,[Compound(11332262)],tricornose E
3774,[Compound(11446138)],tricornose F
3775,[Compound(11389139)],tricornose G
3776,[Compound(11389259)],tricornose H
3777,[Compound(11788181)],tricornose I
3778,[Compound(11205612)],tricornose J
3779,[Compound(11480322)],tricornose K
3780,[Compound(11446213)],tricornose L
3781,[],tricornoside A
3782,[],tricornoside B
3783,[],tricornoside C
3784,[],tricornoside D
3785,[],tricornoside E
3786,[],tricornoside F
3787,[Compound(10653826)],watterose A
3788,[Compound(10724988)],watterose B
3789,[Compound(10820064)],watterose C
3790,[Compound(10606127)],watterose D
3791,[Compound(10772657)],watterose E
3792,[Compound(10748800)],watterose F
3793,[Compound(10725004)],watterose G
3794,[Compound(10724898)],watterose H
3795,[Compound(10653715)],watterose I
3796,[Compound(10724953)],watterose J
3797,[Compound(21606630)],wattersiixanthone A
3798,[Compound(10525258)],wattersiixanthone B
3799,[Compound(72276)],(-)-epicatechin
3800,[Compound(10658)],angelicin
3801,[Compound(222284)],beta-sitosterol
3802,[Compound(91472)],friedelin
3803,[Compound(985)],palmitic acid
3804,[Compound(6199)],psoralen
3805,[Compound(5280343)],quercetin
3806,"[Compound(10410123), Compound(85135225), Compound(129317106), Compound(146158285)]",simiarenone
3807,[],1-O-P-D-(6'-O-galloyl)-glucopyranosyl-3-methoxy-5-hydroxybenzene
3808,[Compound(5281343)],"5,7-dihydroxy-4H-chromen-4-one"
3809,[Compound(5281855)],ellagic acid
3810,[Compound(3037884)],hirsutine
3811,[Compound(5280863)],kaempferol
3812,"[Compound(5316673), Compound(135398081)]",kaempferol-3-O-alpha-L-rhamnopyranoside
3813,[Compound(5281673)],myricetrin
3814,[Compound(5280343)],quercetin
3815,[],"quercetin-3-O-( 3""-O-galloyl) -/3-D-glucopyranoside"
3816,[],"quercetin-3-O-(2""-O-galloyl) -alpha-L-rhamnopyranoside"
3817,[],"quercetin-3-O-(2""-O-galloyl)-beta-D-glucopyranoside"
3818,[],"quercetin-3-O-(3""-O-galloyl) -alpha-L-rhamnopyranoside"
3819,[Compound(5280459)],quercitrin
3820,[Compound(5280805)],rutin
3821,[Compound(46886154)],"3,5,7-trihydroxychromone"
3822,[Compound(5280695)],8-methoxyquercetin
3823,[Compound(222284)],beta-sitosterol
3824,[Compound(5280445)],luteolin
3825,[Compound(126)],p-hydroxybenzaldehyde
3826,[],pigenin
3827,[Compound(5280343)],quercetin
3828,[],quercetin-3'-O-beta-D-galactoside
3829,[Compound(359)],"1,3,5-trihydroxybenzene"
3830,[],"3,3'-dimethoxyellagic-acid-4-O-beta-D-glucoside"
3831,[Compound(12305769)],alphitonin
3832,[Compound(2214)],apocynin
3833,[Compound(5280863)],kaempferol
3834,"[Compound(5316673), Compound(15558501)]",kaempferol-3-O-alpha-L-rhamnoside
3835,[],kaempferol-3-O-beta-D-glucoside
3836,[],"methyl 3, 4-dihydroxybenzoate"
3837,[],quercetin-3-O-alpha-L-rhamnoside
3838,"[Compound(147894), Compound(21122760), Compound(14236585)]",Polypodoside A
3839,[Compound(5280443)],Apigenin
3840,[Compound(222284)],beta-sitosterol
3841,[Compound(68171)],hexacosanol
3842,[Compound(5280863)],kaempferol
3843,[Compound(5281804)],Prunetin
3844,[Compound(5280343)],quercetin
3845,[Compound(25203368)],quercetin-3-O-beta-D-glucoside
3846,[],"1-O-(1, 2-propanediol)-6-O-galloyl-beta-D-glucopyranoside"
3847,[Compound(124021)],1-O-galloyl-beta-D-glucose
3848,[],"2,6-dihydroxy-3,5-dimethyl-4-O-(6?-O-galloyl-?-D-glucopyranosyl)-benzophenone"
3849,[],"2,6-dihydroxy-3-formaldehyde-5-methyl-4-O-(6?-O-galloyl-?-D-glucopyranosyl)-diphenylmethane"
3850,[Compound(73659)],2alpha-hydroxyoleanolic acid
3851,[Compound(6918774)],2alpha-hydroxyursolic acid
3852,[],alkaloids
3853,[],alkaloids
3854,[Compound(119034)],asiatic acid
3855,"[Compound(5490064), Compound(12308704), Compound(44144273)]",avicularin
3856,[Compound(222284)],beta-sitosterol
3857,[Compound(5281855)],ellagic acid
3858,[],ellagic acid-4-O-beta-D-glucopyranoside
3859,[Compound(370)],gallic acid
3860,[Compound(3081756)],goreishic acid I
3861,"[Compound(5481224), Compound(5878729), Compound(44259215)]",guaijaverin
3862,"[Compound(5481224), Compound(5878729), Compound(44259215)]",guaijaverin
3863,"[Compound(46197930), Compound(101447677), Compound(75091753), Compound(129316742), Compound(137705667), Compound(146156655)]",Guajadial
3864,"[Compound(46197930), Compound(101447677), Compound(75091753), Compound(129316742), Compound(137705667), Compound(146156655)]",guajadial
3865,[],guajanoic acid
3866,[],guajavolide
3867,[Compound(101211344)],guavacoumaric acid
3868,[Compound(101211343)],guavanoic acid
3869,[],guavenoic acid
3870,[],guavinoside A
3871,[],guavinoside B
3872,[],guavinoside C
3873,"[Compound(5281643), Compound(90657624)]",hyperin
3874,[Compound(5281643)],hyperoside
3875,[Compound(102572108)],ilelatifol D
3876,[Compound(10100394)],isoneriucoumaric acid
3877,"[Compound(5280804), Compound(5378597), Compound(10813969), Compound(51402807), Compound(12304323), Compound(45933929)]",isoquercitrin
3878,[Compound(11700083)],jacoumaric acid
3879,[Compound(5280863)],kaempferol
3880,[],morin-3-O-alpha-L-arabopyranoside
3881,[],myricetin-3-O-beta-D-glucoside
3882,[Compound(3604942)],obtusinin
3883,"[Compound(44583704), Compound(399421), Compound(56928096)]",obtusol
3884,[Compound(10494)],oleanolic acid
3885,"[Compound(45104868), Compound(91895407), Compound(129316742), Compound(137705667), Compound(146156655)]",psidial A
3886,[Compound(45104960)],psidial B
3887,[Compound(45104961)],psidial C
3888,[],psidiumoic acid
3889,[Compound(49844493)],Psiguadial A
3890,[Compound(102052649)],Psiguadial B
3891,[],psiguanin A
3892,[],psiguanin B
3893,[],psiguanin C
3894,[],psiguanin D
3895,[Compound(5280343)],quercetin
3896,[],"quercetin-3-O-(6""-galloyl) beta-D-galactopyranoside"
3897,[Compound(5274585)],quercetin-3-O-beta-D-glucuronopyranoside
3898,[Compound(5280459)],quercitrin
3899,"[Compound(5320863), Compound(5320861), Compound(5878729), Compound(121540514), Compound(12309863), Compound(26202188)]",reynoutrin
3900,[Compound(64945)],ursolic acid
3901,[Compound(64945)],ursolic acid
3902,[Compound(4114)],8-methoxypsoralen
3903,[Compound(5282102)],astragalin
3904,[Compound(6450879)],bavachalcone
3905,"[Compound(14236566), Compound(5321775), Compound(26436537)]",bavachin
3906,"[Compound(10337211), Compound(122835), Compound(40484423)]",bavachinin
3907,[],bavadin
3908,[],bavarigenin
3909,[],coryfolia D
3910,[Compound(5281255)],corylifolinin
3911,[Compound(5316097)],corylin
3912,[Compound(90816564)],corylinin
3913,[Compound(5281708)],daidzein
3914,[Compound(107971)],daidzin
3915,[Compound(107971)],daidzin
3916,[Compound(107971)],daidzin
3917,[Compound(10658)],isopsoralen
3918,[Compound(10658)],isopsoralen
3919,[Compound(10658)],isopsoralen
3920,[Compound(5320053)],neobavaisoflavone
3921,[Compound(5320053)],neobavaisoflavone
3922,[Compound(6199)],psoralen
3923,[Compound(6199)],psoralen
3924,[Compound(6199)],psoralen
3925,[Compound(5281806)],psoralidin
3926,[Compound(5281806)],psoralidin
3927,[Compound(14630492)],sophoracoumestan A
3928,[Compound(1174)],uracil
3929,[Compound(70698132)],(2R)-pterosin P
3930,[],bimutipterosins A
3931,[],bimutipterosins B
3932,[],dehydropterosin B
3933,[],"2-methoxy-5-hydroxy-1, 4-naphthoquinone"
3934,[],3beta-hydroxytaraxer-14-ene-1-one
3935,[],"5, 7-dihydroxy-6, 8-dimethylchromone"
3936,[Compound(56683359)],"5,7-dihydroxy-6,8-dimethylchromone"
3937,[Compound(10104346)],"5-hydroxy-2-methoxy-1,4-naphthoquinone"
3938,"[Compound(9823926), Compound(14769504), Compound(71307329), Compound(134692123), Compound(137794977)]",6beta-hydroxystigmast-4-en-3-one
3939,[],alpha-monpalmitin
3940,[],alpha-monpalmitin
3941,[Compound(222284)],beta-sitosterol
3942,[Compound(222284)],beta-sitosterol
3943,[Compound(72326)],betulin
3944,[Compound(72326)],betulin
3945,[Compound(64971)],betulinic acid
3946,[Compound(64971)],betulinic acid
3947,[Compound(985)],palmitic acid
3948,[Compound(985)],palmitic acid
3949,"[Compound(12443148), Compound(9982268), Compound(4660579), Compound(23723041), Compound(40484475), Compound(86574170)]",sumaresinolic acid
3950,"[Compound(12443148), Compound(9982268), Compound(4660579), Compound(23723041), Compound(40484475), Compound(86574170)]",sumaresinolic acid
3951,[],"taraxer-14-ene-1alpha,3beta-diol"
3952,"[Compound(92097), Compound(344467), Compound(5458935), Compound(5270611), Compound(129316882), Compound(137705053), Compound(146156832)]",taraxerol
3953,"[Compound(92097), Compound(344467), Compound(5458935), Compound(5270611), Compound(129316882), Compound(137705053), Compound(146156832)]",taraxerol
3954,[],Alkaloids
3955,[],"1,8 cineol"
3956,[],2L -4L-dihydroxy eicosane
3957,[Compound(162747)],chrysanthenyl acetate
3958,[Compound(91746711)],dehydroaromadendrene
3959,[Compound(61126)],verbenol
3960,[],?-pinen
3961,[],alkaloids
3962,[],Alkaloids
3963,[],"6,7,11-trihydroxy-10-methoxy-9-(7-methoxy-3-methyl-1-oxoisochroman-5-yl)-2-methyl-12-oxo-12H-benzo[b]xanthene-4-carboxylic acid"
3964,[],"6,7-dihydroxy-10,11-dimethoxy-9-(7-methoxy-3-methyl-1-oxoisochroman-5-yl)-2-methyl-12-oxo-12H-benzo[b]xanthene-4-carboxylic acid"
3965,[],hexadecahydrochrysen-3-ol
3966,[],(+)-pinoresinol-4'-O-beta-D- glucopyranoside
3967,[Compound(14484636)],betulabuside A
3968,[Compound(71720642)],dihydrosyringin
3969,[],linoeic acid
3970,"[Compound(73399), Compound(234817), Compound(637584), Compound(17750970), Compound(137705081)]",pinoresinol
3971,[],pyrropetioside
3972,[],alkaloids
3973,[],hydrolysable tannins
3974,[],hydrolysable tannins
3975,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
3976,[],glaucocalgxin A
3977,[Compound(10494)],oleanolic acid
3978,[Compound(64945)],ursolic acid
3979,[],7-hydroxynoracronycine
3980,[],ajmalicine B
3981,[Compound(251566)],raunescine
3982,[],rauverine A
3983,[],rauverine B
3984,[],rauverine C
3985,[],rauverine D
3986,[],rauverine E
3987,[],rauverine F
3988,[],rauverine G
3989,"[Compound(15559808), Compound(101277304)]",sandwicine
3990,"[Compound(453213), Compound(56927765), Compound(49874486), Compound(13579075), Compound(101588306), Compound(44592972), Compound(135397963), Compound(138113842), Compound(146158894)]",perakine
3991,[Compound(56927714)],raucaffrinoline
3992,[],rauvoloid A
3993,[],rauvoloid B
3994,[],rauvoloid C
3995,[],rauvoloid D
3996,[],rauvoloid E
3997,[],"1alpha, 3beta-dihydroxy-5beta-pregn-16-en-20-one-3-O-beta-D-glucopyranoside"
3998,[Compound(79025)],a-D-glucose
3999,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
4000,"[Compound(5491513), Compound(44257572)]",sophoraflavone B
4001,[],"stigmast-5, 22-dien-3-O-beta-D-glucopyranoside"
4002,[],syringaresinol-beta-D-glucoside
4003,[],10-ethoxy gambogic acid
4004,[],10-methoxygambogenic acid
4005,[],10-methoxygambogic acid
4006,[],desoxymorellinin
4007,"[Compound(101389903), Compound(15299002), Compound(70639870), Compound(73008268)]",isogambogenic acid
4008,[],3-oxo-19alpha-hydroxyurs-12-en-28-oic acid
4009,[Compound(15385516)],arjunic acid
4010,[Compound(382831)],pomolic acid
4011,[Compound(73193)],tormentic acid
4012,[Compound(64945)],ursolic acid
4013,[],"1,5,6-trihydroxy-3-methoxy-7-geranyl-xanthone"
4014,[Compound(12272224)],"2,5-dimethyl-7-methoxychromone"
4015,[Compound(442731)],chrysophanol 8-O-beta-D-glucopyranoside
4016,[],chrysophanol-8-Me ether
4017,[Compound(361512)],citreorosein
4018,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
4019,[],n-hexacosnic acid
4020,[Compound(985)],palmitic acid
4021,[],1-O-beta-D-glucopyranosyl-chrysophanols
4022,[],1-O-beta-D-glucopyranosyl-emodin
4023,[Compound(10208)],chrysophanol
4024,[Compound(3220)],emodin
4025,[Compound(370)],gallic acid
4026,[Compound(196964)],Rhinacanthone
4027,[Compound(222284)],beta-sitosterol
4028,[Compound(10150)],catenarin
4029,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
4030,[Compound(985)],hexadecanoic acid
4031,[],physicion
4032,[Compound(5280794)],stigmasterol
4033,[],"15(S)-isopimar-7-en-1-oxo-15,16-diol"
4034,"[Compound(5481224), Compound(5878729), Compound(44259215)]",guaijaverin
4035,[],polystachoside
4036,[],quercetin-4'-O-beta-D-galactoside
4037,[Compound(5280459)],quercitrin
4038,"[Compound(5320863), Compound(5320861), Compound(5878729), Compound(121540514), Compound(12309863), Compound(26202188)]",reynoutrin
4039,[Compound(439533)],taxifolin
4040,[],(6''-O-(4-Hydroxybenzoyl) hyperoside
4041,[Compound(5318644)],cacticin
4042,[Compound(3037884)],hirsutine
4043,[Compound(5281643)],hyperoside
4044,[Compound(5281654)],isorhamnetin
4045,[],kaemferol-3-beta-D-galactoside
4046,[],myricetin-3-beta-D-Xyloside
4047,[Compound(5280343)],Quercetin
4048,[],"3,5,7-trihydroxylchromone 3-O-beta-D-xylopyranoside"
4049,[Compound(222284)],beta-sitosterol
4050,[Compound(64971)],betulinic acid
4051,[Compound(5793)],D-glucose
4052,[Compound(5280343)],quercetin
4053,"[Compound(92097), Compound(344467), Compound(5458935), Compound(5270611), Compound(129316882), Compound(137705053), Compound(146156832)]",taraxerol
4054,[Compound(6325794)],quercetin-3-O-alpha-L-rhamnopyranoside
4055,[],alkaloids
4056,[],3-acetoxy oleanolic acid
4057,[],"3-oxo-olean-9(11),12-diene"
4058,[Compound(222284)],beta-sitosterol
4059,[Compound(12302400)],canophyllal
4060,[],daucostorol
4061,[Compound(91472)],friedelin
4062,[],"glut-5-en-3beta,28-diol"
4063,[Compound(985)],palmitic acid
4064,[Compound(5281)],stearic acid
4065,[Compound(17085)],tricosanoic acid
4066,[Compound(15011611)],triptonoterpene methyl ether
4067,[Compound(173273)],triptophenolide
4068,[],"1,2,3,4,6-penta-O-galloyl-beta-D-glucoside"
4069,[],"1,6-digalloyl-beta-D-glucoside"
4070,"[Compound(6419835), Compound(367141), Compound(5276454)]",catechin gallate
4071,[Compound(471426)],euscaphic acid
4072,[Compound(54670067)],L-ascorbic acid
4073,[Compound(73659)],maslinic acid
4074,[Compound(5280343)],quercetin
4075,[Compound(5280804)],quercetin-3-O-glucoside
4076,[Compound(73193)],tormentic acid
4077,[Compound(64945)],ursolic acid
4078,[],1-hydroxy-2-hydroxymethyl-3-methoxyanthraquinone
4079,[Compound(85951330)],rubiawallin A
4080,[Compound(10945434)],rubiawallin B
4081,[Compound(2870897)],rubiawallin C
4082,[Compound(21629620)],Rubianol A
4083,[Compound(21629622)],Rubianol B
4084,[Compound(21629623)],Rubianol C
4085,[Compound(21629625)],Rubianol D
4086,[Compound(21629627)],Rubianol E
4087,"[Compound(21629628), Compound(24941983)]",rubianoside I
4088,[Compound(11826588)],rubiarbonone D
4089,[Compound(637433)],rubiarbonone E
4090,[Compound(10939859)],rubiarbonone F
4091,[],rubiarbonone G
4092,[Compound(11760306)],Rubinaphthin A
4093,[Compound(11134650)],Rubinaphthin B
4094,[Compound(11038186)],Rubinaphthin C
4095,[Compound(11114923)],Rubinaphthin D
4096,[Compound(73659)],2alpha-hydroxyoleanolic acid
4097,[Compound(6918774)],corosolic acid
4098,[Compound(92157)],lupeol acetate
4099,"[Compound(485707), Compound(619166), Compound(3010929), Compound(12358639)]",oleanoic acid
4100,[Compound(222284)],sitosterol
4101,[Compound(44557350)],rubuside A
4102,[Compound(44557350)],rubuside A
4103,[Compound(44557351)],rubuside B
4104,[Compound(44557352)],rubuside C
4105,[Compound(44557353)],rubuside D
4106,[Compound(44557413)],rubuside E
4107,[Compound(44557414)],rubuside F
4108,[Compound(44557415)],rubuside G
4109,[Compound(44557416)],rubuside H
4110,[Compound(44557481)],rubuside I
4111,[Compound(44557482)],rubuside J
4112,[],(+) -catech
4113,[Compound(5742590)],beta-daucosterol
4114,"[Compound(612548), Compound(12302281)]",camelliagenin A
4115,[Compound(471426)],euscaphic acid
4116,[Compound(3893)],lauric acid
4117,[Compound(6947)],O-nitrophenol
4118,[],p-sitosterol
4119,[Compound(15038301)],15alpha-hydroxyfriedelan-3-one
4120,[],"26, 27-dihydroxy-7, 24-tirucalladien-3-one"
4121,[Compound(44575701)],abruslactone A
4122,[Compound(222284)],beta-sitosterol
4123,[Compound(222284)],beta-sitosterol
4124,[Compound(72276)],epicatechin
4125,[Compound(91472)],friedelin
4126,[Compound(91472)],friedelin
4127,[Compound(259846)],lupeol
4128,[Compound(5281647)],mangiferin
4129,[Compound(5281647)],mangiferin
4130,[Compound(64945)],ursolic acid
4131,[],"3, 22-dioxo-29-normoretane"
4132,[],30-Hydorxylup-20 (29) -en-3-one
4133,[Compound(5742590)],beta-Daucosterol
4134,[Compound(222284)],beta-Sitosterol
4135,[],Egallic acid
4136,[Compound(13250)],Ethyl gallate
4137,[Compound(370)],Gallic acid
4138,[Compound(71350465)],Hentriacontan-12-ol
4139,[Compound(68345)],Hentriacontanol
4140,[Compound(5281654)],Isorhamnetin
4141,[],Kaempferol-4'-methylether
4142,[],"Lup-20(29)-en-3beta,30-diol"
4143,[Compound(259846)],lupeol
4144,[Compound(5280343)],Quercetin
4145,[],"Quercet-in-3', 4'-dimethylether"
4146,[],Ursolid acid
4147,[Compound(222284)],beta-sitosterol
4148,[],beta-sitosteryl-3-O-glucoside
4149,[Compound(91472)],friedelin
4150,[Compound(5280637)],luteolin-7-O-glucoside
4151,[],"(-)syringaresinol 4,4'-bis-O-beta-D-glucopyranoside"
4152,[],"5, 2'-dihydroxy-6, 7-methylenedioxy-isoflavone"
4153,[Compound(442830)],acanthoside D
4154,[Compound(222284)],beta-sitosterol
4155,[Compound(445858)],ferulic acid
4156,[],isorhamnetin-3-O-alpha-L-arabinopyranosyl (1-->6) -beta-D-glucopyranoside
4157,[Compound(5318645)],isorhamnetin-3-O-beta-D-glucopyranoside
4158,[],isorhamnetin-7-O-beta-D-glucopyranoside
4159,[],n-dotriacontanic acid
4160,[],n-lignoceric acid
4161,[Compound(637542)],p-coumaric acid
4162,[Compound(338)],salicylic acid
4163,[Compound(338)],salicylic acid
4164,[Compound(11267045)],selagin
4165,[Compound(5281702)],tricin
4166,[],tricin -7-O-beta-D-glucopyranoside
4167,[],tricin-4'-O-beta-D-apioside
4168,[Compound(8468)],vanillic acid
4169,[],3-hydroxy hexadecanoic acid
4170,[],3-hydroxy tetradecanoic acid
4171,"[Compound(5317570), Compound(6436582), Compound(5373727), Compound(91104), Compound(49796490), Compound(91723653)]",Germacrene D
4172,[Compound(985)],palmitic acid
4173,"[Compound(92231), Compound(522266), Compound(6432640), Compound(13854255), Compound(97032059)]",spathulenol
4174,[],?-humulene
4175,[],?-caryophyllene
4176,[],1 beta-hydroxy-lupeol
4177,[Compound(25203368)],quercetin-3-O-beta-D-glucoside
4178,[Compound(5280805)],rutin
4179,[],Alkaloid
4180,[],alkaloids
4181,[],16?-hydroxybryodulcosigenin
4182,[],3?-O-feruloylolean-12-en-27-oic acid
4183,[],3?-hydroxyolean-12-en-27-oic acid
4184,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
4185,[Compound(6440400)],menisdaurin
4186,[Compound(10494)],oleanolic acid
4187,[Compound(10358198)],purshianin
4188,[],?-sitosterol
4189,[Compound(5281515)],(E)-Caryophyllene
4190,"[Compound(5284507), Compound(5281525), Compound(11241545)]",(E)-Nerolidol
4191,[Compound(42608158)],Allo-aromadendrene
4192,[Compound(2537)],Camphor
4193,[Compound(1742210)],Caryophyllene oxide
4194,"[Compound(519857), Compound(11770062)]",cubenol
4195,[Compound(92139)],Curcumene
4196,[Compound(3893)],Dodecanoic acid
4197,"[Compound(5317570), Compound(6436582), Compound(5373727), Compound(91104), Compound(49796490), Compound(91723653)]",Germacrene D
4198,[],ß-Ionone
4199,[],?-Bisabolene
4200,[],?-Copaene
4201,[],(E)-3-(6-[(E)-3-hydroxy-3-oxo-1-propenyl]-9-oxo-9H-xanthen-2-yl)-2-propenoic acid
4202,[Compound(188323)],cirsimaritin
4203,[Compound(5281628)],hispidulin
4204,[Compound(5280445)],luteolin
4205,[Compound(13093777)],luteolin 7-O-beta-D-glucopyranoside
4206,[Compound(5317284)],nepetin
4207,[Compound(5320946)],rhamnocitrin
4208,[],"4-methoxycarbonyl-5,10-benzogquinolinequinone"
4209,[Compound(457732)],cleistopholine
4210,[Compound(10144)],liriodenine
4211,[Compound(10105653)],marcanine A
4212,[Compound(7047)],quinoline
4213,[],saprosmine A
4214,[],saprosmine B
4215,[],deltoiden A
4216,[],deltoiden B
4217,[],deltoignan A
4218,[],deltoignan B
4219,[],sausinlactone A
4220,[],sausinlactone B
4221,[],sausinlactone C
4222,[],"3,5-dimethoxy-4-hydroxy-acetophenone"
4223,[],"3,5-dimethoxy-4-hydroxy-benzaldehyde"
4224,[Compound(5375252)],"5,7-dihydroxy-2-methylchromone"
4225,[],5-hydroxymethyl-furaldehyde
4226,[],Alkaloids
4227,[Compound(222284)],beta-sitosterol
4228,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
4229,[],ethyl 2-pyrrolidinone-5(s)-carboxylate
4230,[Compound(5793)],glucose
4231,[Compound(985)],palmitic acid
4232,[Compound(126)],p-hydroxybenzaldehyde
4233,[Compound(1110)],succinic acid
4234,[Compound(222284)],beta-sitosterol
4235,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
